 Game Name,Dataset,Steam Id,Notes,"Format (720p, 720p60fps, etc)",Video Title,Video Url
Geodepth,geodepth,2206140,,"1080pHD, 720p",GeoDepths Ep 1 By Jason's Gaming,https://www.youtube.com/watch?v=Trc43CTZ4Ow&list=PLQ2ZfO2hyoqSjKs8N51Q9_fkcijZE2CPn
Tyranny,tyranny,362960,,"1080p60HD, 720p60",Tyranny Full Walkthrough Gameplay - No Commentary (PC Longplay),https://www.youtube.com/watch?v=Zpt-Lccd-BY
Terraformers,terraformers,1244800,,"1080pHD, 720p",Terraformers - Green Path - Highest Difficulty (Utopia+++) Turn 57,https://www.youtube.com/watch?v=5fPXIV_XOJo&list=PLekMeW9nGNmcYjrlNiIJMcjn5X2Cu4FsS
Trine 4: The Nightmare Prince,trine,690640,,"1080p60HD, 720p60",Trine 4: The Nightmare Prince - 100% Walkthrough Part 1: The Gathering,https://www.youtube.com/watch?v=127iH9dmJ1I&list=PLqTQ_14zFL0nJmCPA1EcbMT-kXuCLKXZm
Turing Complete,turing-complete,1444480,,"1440p60HD,1080p60HD,720P60",A logician tries to build a PC | Turing Complete pt.0 - NAND,https://www.youtube.com/watch?v=dQpVYR1_pTI&list=PLL86cjqdZc_A6_KxfzZdofFsIBv5BvSPx&index=1
Slime Rancher,slime-rancher,433340,,"1440p60HD,1080p60HD,720P60",😊 WHAT ARE SLIMES & WHY AM I RANCHING THEM?! - Slime Rancher Ep.1 (Gameplay / Let's Play),https://www.youtube.com/watch?v=0y-vVWRfkrU&list=PL-JPD8A3qWVM5UlFb3pttbdpqhRrQKP_L
Slime Rancher 2,slime-rancher,1657630,,"1440p60HD,1080p60HD,720P60",SLIME RANCHER 2 Gameplay Walkthrough FULL GAME - No Commentary,https://www.youtube.com/watch?v=oko1J2Kiceo
Gal*Gun 2,gal-gun,851890,,"1080p60HD, 720p60","Gal Gun 2 | Full Game Walkthrough, No Commentary",https://www.youtube.com/watch?v=JZIIbF2484g
Cavalry Girls,cavalry-girls,1888160,,"1080p60HD, 720p60",Victory or Poverty: Let's Check Out Cavalry Girls [Day1-21],https://www.youtube.com/watch?v=N-DwzUXh7Ug&list=PLEp8vTikL8KwJPscOatEzR6LS1OoJYluP
Star Renegades,star-renegades,651670,,"1080p60HD, 720p60",Star Renegades - Walkthrough - Davion Syphex - No commentary,https://www.youtube.com/watch?v=Apd3jEgGZ3g
Defcon,defcon,1520,,720p,DEFCON Lets-play | Tutorial Basics Walkthrough,https://www.youtube.com/watch?v=HzHm7KTLmXQ&t=1933s
Forager,forager,751780,,"1080pHD, 720p",Forager - Full Playthrough / Longplay / Walkthrough (no commentary),https://www.youtube.com/watch?v=Vgomu6hAtZ8
Blaster Master Zero,blaster-master-zero,1034900,,"1080p60HD, 720p60",Blaster Master Zero Full Walkthrough Gameplay No Commentary (Longplay),https://www.youtube.com/watch?v=FThtS7ktPNM
Blaster Master Zero 2,blaster-master-zero,1034910,,"1080p60HD, 720p60",Blaster Master Zero 2 - Full Playthrough,https://www.youtube.com/watch?v=NKuU1apx82Y
Blaster Master Zero 3,blaster-master-zero,1588380,,"1080p60HD, 720p60",Sunday Longplay - Blaster Master Zero 3 (PC) - 100% Playthrough (All Achievements),https://www.youtube.com/watch?v=0qm33gjceLU
Stardew Valley,stardew-valley,413150,,"1080pHD, 720p",Stardew Valley Year 1 Week 1 (Spring) - Relaxing Gameplay | Longplay | No Commentary,https://www.youtube.com/watch?v=i9vsA89pHmU&list=PLjO3knpev7XRG97YtD3RbSid4VqR0bVmt
Osmosis,osmosis,502730,,"1080p60HD, 720p60",Osmos: PC Full Gameplay Walkthrough - All Achievements (No Commentary),https://www.youtube.com/watch?v=rAsFGaPfGOk&t=94s
Mindustry,mindustry,1127400,,"1080p60HD, 720p60",Mindustry (Serpulo) Gameplay No Commentary,https://www.youtube.com/watch?v=sElq6jnOo-M
Final Factory,final-factory,1383150,,"1080p60HD, 720p60",FINAL FACTORY; New Innovative Space Factory Automation Game | First Look,https://www.youtube.com/watch?v=IUKJ-jh0LC4
Final Factory,final-factory,1383150,,"1080p60HD, 720p60",Conquer The Universe With Factory Automation & Drone Swarms! - Final Factory [Alpha Demo],https://www.youtube.com/watch?v=wo0xkba3Ypw
Final Factory,final-factory,1383150,7 parts, 720p60,Final Factory A Gem of a Game - Part 1 - Humble beginnings,https://www.youtube.com/watch?v=4vc_6f_i00A&list=PL-esX3sbfgG7kYw-TJsi4D6L3iAbGG_Kw
Factorio,factorio,427520,,"1080p60HD, 720p60",Factorio 1.1.57 Part 1 - Full Gameplay Walkthrough Longplay No Commentary,https://www.youtube.com/watch?v=kZOO5eA62DY
Factorio,factorio,427520,,"1080p60HD, 720p60",Factorio 1.1.57 Part 2 - Full Gameplay Walkthrough Longplay No Commentary,https://www.youtube.com/watch?v=PpmZJXaBaTU
NieR:Automata,nier-automata,524220,,"2160p60 4k,1440p60HD,1080p60HD,720P61",NIER AUTOMATA Gameplay Walkthrough FULL GAME (4K 60FPS) No Commentary,https://www.youtube.com/watch?v=LgRIzMbgv38
Darkest Dungeon,darkest-dungeon,262060,VIEW FULL PLAYLIST,"2160p60 4k,1440p60HD,1080p60HD,720P61",Darkest Dungeon Gameplay part 1 - 4K 60FPS no commentary,https://www.youtube.com/watch?v=655U5UPgj0U&list=PLK0DptiFa5gFiuPFG5VF8TzFYHmrVPgal
Brain / Out,brain,578310,,"1080p60HD, 720p60",BRAIN OUT Gameplay 60fps,https://www.youtube.com/watch?v=RAHXl2dBWDU
Brain / Out,brain,578310,,"1080pHD, 720p",Brain out a 2D shooter madness,https://www.youtube.com/watch?v=fE1-0iDCoFA&t=336s
Lobotomy Corporation,lobotomy-corporation,568220,VIEW FULL PLAYLIST,"1080pHD, 720p",Lobotomy Corporation - Day 1 to 5 (Mostly Blind Playthrough) (No Commentary) Part 1,https://www.youtube.com/watch?v=cAaOZ4g5kr8&list=PLUQj7-TINnzsKcoXRNGOagLxUr6TwDFu7
Libary Of Ruina,libary-of-ruina,1256670,Library of Runia (No Commentary Playthrough),"1080pHD, 720p",Library of Ruina - May You Find Your Book in This Place (No Commentary) Part 1,https://www.youtube.com/watch?v=jG6LlVVUrMs&list=PLUQj7-TINnzs95AcdcX0XCePsqnVBfX5b&index=1
Limbo,limbo,48000,,"1080pHD, 720p",LIMBO - Full Game Walkthrough【NO Deaths】,https://www.youtube.com/watch?v=1ie19_GXAAw
Limbo,limbo,48000,,"1080pHD, 720p",Limbo Gameplay Walkthrough - Full Game,https://www.youtube.com/watch?v=uYy9iYtzcDg
Frostpunk,frostpunk,323190,,"1080p60HD, 720p60",Frostpunk | Main Story | A New Home - Order Path | Longplay Walkthrough No Commentary,https://www.youtube.com/watch?v=HEXDj47WqCY
Fabledom,fabledom,1651560,VIEW FULL PLAYLIST,"1080p60HD, 720p60",FABLEDOM Gameplay - Once upon a Village - Part 1 [no commentary],https://www.youtube.com/watch?v=QKFokp3CLwc&list=PLIhWkZM76kX3QtYYqpudb0fq8IFFfTW_u
"SimCity 2000
",simcity-2000,,steam id not found,"1440p60HD,1080p60HD, 720p60",Longplay of SimCity 2000,https://www.youtube.com/watch?v=TQbiiDBk5Qg
Planetoid Pioneers,planetoid-pioneers,300260,VIEW FULL PLAYLIST,"1080p60HD, 720p60",Tentacle of Doom | Let's Play Planetoid Pioneers 1.0 Pt 2 (Planetoid Pioneers Early Access Gameplay),https://www.youtube.com/watch?v=x6Msgj4zikg&list=PLyxByeNdXbHg9dOV05MAt8852cVQDVSl0
Nine Sols,nine-sols,1809540,,"1440pHD,1080pHD, 720p",NINE SOLS Gameplay Walkthrough FULL GAME No Commentary + ENDING,https://www.youtube.com/watch?v=o2M7rtne1v0
Dustforce,dustforce,65300,VIEW FULL PLAYLIST,"1080p60HD, 720p60",[Dustforce DX] Scrub% in 49:58,https://www.youtube.com/watch?v=CvDjh5QWk7k&list=PLcRJ0USnuue7QSD9Ve1wNjxMYtaQ4cDQ5
